"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","additional_indicatorsself_focus","movavg_additional_indicatorsself_focus","%change_additional_indicatorsself_focus","Peer Comparison_additional_indicatorsself_focus","Peer Deviation_additional_indicatorsself_focus","personality__emotionally_aware","movavg_personality__emotionally_aware","%change_personality__emotionally_aware","Peer Comparison_personality__emotionally_aware","Peer Deviation_personality__emotionally_aware","liwc__cognitive_processes","movavg_liwc__cognitive_processes","%change_liwc__cognitive_processes","Peer Comparison_liwc__cognitive_processes","Peer Deviation_liwc__cognitive_processes","liwc__positive_emotion_words","movavg_liwc__positive_emotion_words","%change_liwc__positive_emotion_words","Peer Comparison_liwc__positive_emotion_words","Peer Deviation_liwc__positive_emotion_words"
"53",17,2,8222023,0.863013698630137,2.87323943661972,0,4,11.3087171297274,NA,11.3087171297274,NA,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,29.3436293436294,29.3436293436294,0,0.956158243947699,-0.117242921318439,35.8598055110951,35.8598055110951,0,0.855297034458174,-0.520054238209853,17.3007156899775,17.3007156899775,0,0.435161306977598,-1.59234008818254,56.7965367965368,56.7965367965368,0,1.37401456265858,0.962266043627097
"54",17,3,8232023,0.863013698630137,2.87323943661972,1,4,63.5669935428813,462.106141781385,37.4378553363044,231.053070890693,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,40.840840840841,35.0922350922352,16.3814180929096,1.3307933453775,0.383687215554522,28.2288718988949,32.044338704995,-11.9068358415065,0.67329061262628,-0.847114608744301,65.0395314660004,41.1701235779889,57.9774987626535,1.63592582093881,0.100201070618373,12.7875243664717,34.7920305815042,-63.2458233890216,0.309354155920206,-0.407315063210388
"55",17,5,8252023,0.863013698630137,2.87323943661972,2,4,29.2911293749117,-53.9208514633426,34.7222800158401,-7.25355471372545,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,38.2742991438645,36.152923109445,5.86778565040934,1.24716292688831,0.476114947925847,38.6994256154721,34.2627010084874,12.9491384987006,0.923025194710187,-0.656957431698523,38.6850454606511,40.341764205543,-4.10670871122753,0.973036910426602,0.0414634455075532,74.6997929606625,48.0946180412237,55.3184036031528,1.807127848714,0.420650457980837
"56",17,9,8292023,0.863013698630137,2.87323943661972,1,4,61.1652229953342,108.818247369195,51.3411153043757,47.8621659665038,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,26.0456421839708,35.0535940562254,-25.6976555893413,0.848693772725913,0.380320058316094,50.7039687779632,39.2107554307767,29.3113795460451,1.20934716496535,-0.232812079368043,61.1711334180049,54.9652367815521,11.2905847401637,1.53862480861996,1.07839026562877,28.35734870317,38.6148886767681,-26.5636916875778,0.686017357292792,-0.169376789557274
"184",17,10,8302023,0.863013698630137,2.87323943661972,0,NA,NA,NA,45.2281761851229,-11.9065179691018,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,NA,32.1599706639176,NA,NA,0.1281714112604,NA,44.7016971967176,NA,NA,0.237869370587309,NA,49.928089439328,NA,NA,0.721214283733504,NA,51.5285708319163,NA,NA,0.634382900688025
"185",17,13,9022023,0.863013698630137,2.87323943661972,0,NA,NA,NA,61.1652229953342,35.2369875472747,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,NA,26.0456421839708,NA,NA,-0.404627590147697,NA,50.7039687779632,NA,NA,0.752381818781585,NA,61.1711334180049,NA,NA,1.5184403721811,NA,28.35734870317,NA,NA,-0.807815698987235
"57",17,18,9072023,0.863013698630137,2.87323943661972,0,2,34.5918971030141,NA,34.5918971030141,-43.4451549279027,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,38.8328627134599,38.8328627134599,0,1.26536364621935,0.709643314865265,49.7691951224819,49.7691951224819,0,1.18705175304028,0.672253374828472,84.7115652164236,84.7115652164236,0,2.13073239837426,3.18765436784041,59.8341625207296,59.8341625207296,0,1.4475004161341,1.15133071796439
"58",17,25,9142023,0.863013698630137,2.87323943661972,0,0,26.9244684422818,-22.1653893046074,30.7581827726479,-11.0826946523037,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,43.9369851134559,41.3849239134579,6.16664465865576,1.43168079307677,0.932028432601547,17.368272301032,33.5687337117569,-48.2605675562048,0.414252993874675,-0.716444045720316,35.6476729394218,60.1796190779227,-40.7645420731827,0.896638510510598,1.44813369184768,35.0802139037433,47.4571882122364,-26.0802942077842,0.848656053406769,0.380976227521662
"59",17,30,9192023,0.863013698630137,2.87323943661972,1,4,69.4848171932986,158.073125351588,43.6670609128648,41.9689233126485,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,58.3538083538084,47.0412187269081,24.0482494566609,1.90145105330508,1.42491464866926,38.6641020284344,35.2671898173161,9.63193333155913,0.92218268709451,-0.570853031186379,67.9092095451158,62.7561492336537,8.21124363809544,1.70810623739616,1.63083128350669,43.4848484848484,46.1330749697738,-5.74040747697932,1.05197989953547,0.298562177305379
"186",17,37,9262023,0.863013698630137,2.87323943661972,0,NA,NA,NA,48.2046428177902,10.3913151241845,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,NA,51.1453967336321,NA,NA,1.78255031557125,NA,28.0161871647332,NA,NA,-1.19240623419381,NA,51.7784412422688,NA,NA,0.852419741339839,NA,39.2825311942958,NA,NA,-0.127822093024125
"60",17,44,10032023,0.863013698630137,2.87323943661972,0,4,49.8725206265331,NA,59.6786689099158,23.8027406104772,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,45.4261954261956,51.890001890002,-12.4567474048441,1.48020651226519,1.84743477263932,31.4028011496227,35.0334515890286,-10.3633820669353,0.748992425199905,-0.590888983649541,52.3662020306313,60.1377057878735,-12.9228470814218,1.31715619893712,1.44516168814981,47.3076923076923,45.3962703962704,4.21052631578956,1.14446164894519,0.252702769534967
"61",17,49,10082023,0.863013698630137,2.87323943661972,1,5,56.6673024417422,13.6242999749127,53.2699115341376,-10.7387739921816,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,45.9006492526043,45.6634223394,0.519511900446553,1.49566652684555,1.30485427870131,32.4278877041781,31.9153444269004,1.60594625087516,0.773441902202866,-0.858171949440594,100,76.1831010153157,31.2627061215272,2.51527922182833,2.58291474675474,54.9720670391061,51.1398796733992,7.49354005167956,1.3298772233553,0.610190398393379
"62",17,51,10102023,0.863013698630137,2.87323943661972,1,4,44.1316899806872,-22.1214208563085,50.2238376829875,-5.71818830447671,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,45.2588181401739,45.5285542729913,-0.592454860745224,1.47475254574983,1.29310195441254,51.5668760481187,38.4658549673065,34.0588324163007,1.22992848208789,-0.296664665165501,61.5489958164286,71.30506594902,-13.6821556824119,1.54812910301462,2.23702115934295,69.4915254237288,57.2570949235091,21.3675362268448,1.68113010579519,0.990931613448916
"63",17,62,10212023,0.863013698630137,2.87323943661972,1,8,74.1108691957142,67.9311833019457,58.3032872060479,16.0868820380828,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,43.7549976011512,44.9714883313098,-2.70502661863574,1.42575075428887,1.24455955463474,42.6086571271409,42.2011402931459,0.96565360832487,1.01626480020404,0.023522579228225,74.2288939191365,78.592629911855,-5.55234758986008,1.86706394534103,2.7537705488696,97.0414201183432,73.835004193726,31.4301003677455,2.34761363886192,2.02275623634567
"187",17,65,10242023,0.863013698630137,2.87323943661972,0,NA,NA,NA,59.1212795882007,1.4029953049851,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,NA,44.5069078706626,NA,NA,1.20407628548779,NA,47.0877665876298,NA,NA,0.442402335692644,NA,67.8889448677826,NA,NA,1.99478953128711,NA,83.266472771036,NA,NA,2.60977968722368
"64",17,67,10262023,0.863013698630137,2.87323943661972,1,1,52.7010831092123,NA,63.4059761524633,7.2473001161458,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,51.0958719913944,47.4254347962728,7.73938543924549,1.66495216607808,1.45839501184468,23.8176687925005,33.2131629598207,-28.2884655661561,0.568078415250461,-0.74692343599926,54.8407106896538,64.5348023043951,-15.0214942458747,1.37939700107985,1.75695269982258,38.0762852404643,67.5588526794037,-43.6398284897571,0.921136628448972,1.63212267912487
"65",17,78,11062023,0.863013698630137,2.87323943661972,1,0,25.6903220620416,-51.252762663713,39.1957025856269,-38.1829522009429,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,48.6166640012795,49.856267996337,-2.48635536688893,1.58416750476542,1.67021639269321,23.9872524728282,23.9024606326644,0.354741051421187,0.572123178371999,-1.54503331555244,79.6945668912626,67.2676387904582,18.4738580456419,2.00454088194201,1.95073372089507,58.2248520710059,48.1505686557351,20.9224598930482,1.40856818331715,0.424132876709163
"66",17,102,11302023,0.863013698630137,2.87323943661972,0,0,8.40166471062351,-67.2963823095185,28.9310232939591,-26.1882773226059,51.105087548474,1.43817713890669,"Blocking",0.307707986428656,"Aware",0.90277717994574,33.4900117508814,44.4008492478518,-24.5734883043893,1.09126756102727,1.19483439923493,42.2391112864055,30.0146775172447,40.7281862753225,1.00745071275508,-1.02109639756859,23.983318743313,52.8395321080765,-54.6110311986522,0.603247433055412,0.927659980730494,47.536231884058,47.9457897318427,-0.854210244685424,1.14999044918164,0.411387244405453
